"filename", "language", "Markdown", "comment", "blank", "total"
"/home/cia/Documents/Programming/MyProgramming/FULLSTACK/phoenix-gaming-shop-mern-app/README.md", "Markdown", 0, 0, 1, 1
"Total", "-", 0, 0, 1, 1
